tau,agg_mean,agg_max,agg_min,agg_med,agg_total_spike,pooled_std
0.06,0.13689499,4.6642766,0.0,0.0,14722.509,0.36512230783558747
0.2,0.04710059,3.1709008,0.0,0.0,5065.479,0.1717346085990318
0.4,0.023872623,2.6610904,0.0,0.0,2567.4053,0.11344635145736293
0.6,0.015916204,2.3596275,0.0,0.0,1711.7242,0.09073013485329785
0.8,0.0119303195,2.2358942,0.0,0.0,1283.0583,0.07837754698821534
1.0,0.009554989,2.1714473,0.0,0.0,1027.6011,0.07053270426281044
1.2,0.007986873,2.1200163,0.0,0.0,858.9562,0.06498430486243773
1.4,0.0068762964,2.088409,0.0,0.0,739.51825,0.06074492838083076
1.6,0.0060496475,2.0600684,0.0,0.0,650.6155,0.05736486320994816
1.8,0.0054101143,2.0480053,0.0,0.0,581.8361,0.0545619782511872
2.0,0.0049006036,2.032228,0.0,0.0,527.04034,0.05215204203281983
5.0,0.0020526347,1.6422539,0.0,0.0,220.75269,0.03317852014290464
