tau,neuron,mean,std,max,min,median,total_spikes
0.05,166.0,0.17020041,0.40313458,7.493179,0.0,0.0,18304.373
0.1,166.0,0.09054091,0.2749651,6.031213,0.0,0.0,9737.3125
0.15,166.0,0.05964373,0.21383451,5.2895646,0.0,0.0,6414.4453
0.2,166.0,0.043782353,0.17775926,4.834965,0.0,0.0,4708.617
0.25,166.0,0.034278974,0.15376058,4.5219245,0.0,0.0,3686.567
0.3,166.0,0.028005658,0.13653183,4.303932,0.0,0.0,3011.8965
0.35,166.0,0.023579836,0.12350611,4.124148,0.0,0.0,2535.917
0.4,166.0,0.020303596,0.11326999,3.9780245,0.0,0.0,2183.5706
0.45,166.0,0.017788071,0.10498214,3.853202,0.0,0.0,1913.0359
0.5,166.0,0.015800307,0.09809684,3.7440698,0.0,0.0,1699.2598
