tau,neuron,mean,std,max,min,median,total_spikes
0.1,0,0.09265069,0.2539924,3.632531,0.0,0.0,9964.211
0.1,1,0.100444525,0.25493178,2.5781403,0.0,0.0,10802.407
0.1,2,0.09565687,0.24502972,2.8683581,0.0,0.0,10287.514
0.1,3,0.08415896,0.26371428,3.1302257,0.0,0.0,9050.959
0.1,4,0.08389814,0.2668171,3.5226665,0.0,0.0,9022.909
0.1,5,0.0830698,0.2624077,3.2641842,0.0,0.0,8933.825
0.1,6,0.09283787,0.25259936,3.5077722,0.0,0.0,9984.342
0.1,7,0.101215035,0.26053548,4.2048,0.0,0.0,10885.272
0.1,8,0.082830705,0.27997047,5.1512227,0.0,0.0,8908.111
0.1,9,0.090356946,0.26458696,3.6261256,0.0,0.0,9717.528
0.1,10,0.0824283,0.27681875,4.492767,0.0,0.0,8864.834
0.1,11,0.09052249,0.2803852,4.275004,0.0,0.0,9735.332
0.1,12,0.09927514,0.26536456,3.415671,0.0,0.0,10676.645
0.1,13,0.07951796,0.28121516,5.259748,0.0,0.0,8551.839
0.1,14,0.08266988,0.26896277,5.1754127,0.0,0.0,8890.814
0.1,15,0.091583855,0.2726626,4.196959,0.0,0.0,9849.478
0.1,16,0.10103732,0.2792233,4.5984435,0.0,0.0,10866.16
0.1,17,0.10503714,0.2639037,3.1172154,0.0,0.0,11296.324
0.1,18,0.08710969,0.28053227,4.7139797,0.0,0.0,9368.299
0.1,19,0.09624945,0.282344,6.702175,0.0,0.0,10351.244
0.1,20,0.08524097,0.29730433,4.686893,0.0,0.0,9167.325
0.1,21,0.08772106,0.280091,5.2081633,0.0,0.0,9434.049
0.1,22,0.08063509,0.2812145,6.108313,0.0,0.0,8671.981
0.1,23,0.07954508,0.272087,5.005764,0.0,0.0,8554.755
0.1,24,0.0945423,0.27621883,3.4349709,0.0,0.0,10167.646
0.1,25,0.09761122,0.27011764,2.906807,0.0,0.0,10497.696
0.1,26,0.092377774,0.2746387,3.8012092,0.0,0.0,9934.86
0.1,27,0.09747866,0.27855918,3.991777,0.0,0.0,10483.439
0.1,28,0.08807415,0.27160785,5.2892165,0.0,0.0,9472.022
0.1,29,0.09070706,0.28245315,5.6872764,0.0,0.0,9755.182
0.1,30,0.08380282,0.27300173,5.0469556,0.0,0.0,9012.658
0.1,31,0.086820155,0.27396524,4.1915855,0.0,0.0,9337.16
0.1,32,0.09945958,0.27739963,3.0758548,0.0,0.0,10696.48
0.1,33,0.07884245,0.291608,6.104693,0.0,0.0,8479.19
0.1,34,0.08202761,0.27885446,6.134053,0.0,0.0,8821.741
0.1,35,0.0810297,0.28379387,6.456517,0.0,0.0,8714.42
0.1,36,0.083707824,0.27593756,7.0239444,0.0,0.0,9002.441
0.1,37,0.09754493,0.29072905,4.987629,0.0,0.0,10490.567
0.1,38,0.09591222,0.27354133,4.500102,0.0,0.0,10314.976
0.1,39,0.094091594,0.29227027,6.5097156,0.0,0.0,10119.175
0.1,40,0.08788038,0.28137326,4.4439716,0.0,0.0,9451.184
0.1,41,0.08690626,0.26760057,5.4843516,0.0,0.0,9346.421
0.1,42,0.086840875,0.30977282,7.1443467,0.0,0.0,9339.389
0.1,43,0.097410984,0.2894071,5.0253468,0.0,0.0,10476.162
0.1,44,0.0901753,0.27685425,7.239219,0.0,0.0,9697.993
0.1,45,0.08890062,0.29043877,6.3256884,0.0,0.0,9560.906
0.1,46,0.085797764,0.29275507,7.6712193,0.0,0.0,9227.206
0.1,47,0.081370294,0.29736868,7.9241133,0.0,0.0,8751.05
0.1,48,0.08927468,0.27495387,5.0042586,0.0,0.0,9601.135
0.1,49,0.08583504,0.29250002,6.314336,0.0,0.0,9231.215
0.1,50,0.0849909,0.2844743,5.8777156,0.0,0.0,9140.431
0.1,51,0.08487328,0.2838279,12.344587,0.0,0.0,9127.782
0.1,52,0.09316966,0.2845574,3.8906145,0.0,0.0,10020.024
0.1,53,0.089594126,0.28541976,5.878916,0.0,0.0,9635.49
0.1,54,0.088386655,0.2915395,6.7503366,0.0,0.0,9505.631
0.1,55,0.09169326,0.29846022,4.724506,0.0,0.0,9861.243
0.1,56,0.09401158,0.2704637,3.7084205,0.0,0.0,10110.569
0.1,57,0.09423424,0.26911646,4.404473,0.0,0.0,10134.516
0.1,58,0.094082415,0.27220294,3.8086941,0.0,0.0,10118.1875
0.1,59,0.086085774,0.270476,8.209276,0.0,0.0,9258.181
0.1,60,0.08800589,0.2680749,4.914462,0.0,0.0,9464.682
0.1,61,0.088027984,0.25623488,4.2739286,0.0,0.0,9467.058
0.1,62,0.08749297,0.2799708,7.388077,0.0,0.0,9409.52
0.1,63,0.089049235,0.30915377,9.544407,0.0,0.0,9576.889
0.1,64,0.09815123,0.2917381,7.292771,0.0,0.0,10555.772
0.1,65,0.09311569,0.27114338,4.951115,0.0,0.0,10014.22
0.1,66,0.08281382,0.2730835,7.6037693,0.0,0.0,8906.295
0.1,67,0.09351588,0.2745312,4.124483,0.0,0.0,10057.259
0.1,68,0.09120678,0.26950157,7.031594,0.0,0.0,9808.925
0.1,69,0.09539727,0.27350488,3.546123,0.0,0.0,10259.595
0.1,70,0.09185778,0.29646397,8.095873,0.0,0.0,9878.9375
0.1,71,0.086959355,0.27197582,5.7050524,0.0,0.0,9352.131
0.1,72,0.08467461,0.29910684,10.065814,0.0,0.0,9106.416
0.1,73,0.0954248,0.30522072,11.099533,0.0,0.0,10262.556
0.1,74,0.094704516,0.2740657,6.4200115,0.0,0.0,10185.092
0.1,75,0.097514585,0.2797307,4.420705,0.0,0.0,10487.304
0.1,76,0.095102295,0.28949082,7.199803,0.0,0.0,10227.871
0.1,77,0.09028703,0.30094144,8.216884,0.0,0.0,9710.009
0.1,78,0.085329875,0.26541469,5.132649,0.0,0.0,9176.887
0.1,79,0.09522247,0.2854078,20.5351,0.0,0.0,10240.796
0.1,80,0.08716579,0.26902524,5.367308,0.0,0.0,9374.332
0.1,81,0.08897126,0.26997563,5.458849,0.0,0.0,9568.503
0.1,82,0.09506603,0.27158725,3.7690153,0.0,0.0,10223.972
0.1,83,0.08931316,0.28670925,6.6666346,0.0,0.0,9605.272
0.1,84,0.091081,0.29481402,11.551151,0.0,0.0,9795.397
